   0.250000E+01  -0.404043E-02   0.408699E-02  -0.805937E-02
   0.750000E+01  -0.109592E-02   0.110944E-02  -0.904929E-03
   0.125000E+02  -0.693413E-03   0.477927E-03  -0.536301E-03
   0.175000E+02  -0.483408E-03   0.149320E-03  -0.573973E-03
   0.225000E+02  -0.455772E-03   0.492712E-03  -0.365586E-03
   0.275000E+02  -0.400706E-03   0.362913E-03  -0.288367E-03
   0.325000E+02  -0.290051E-03   0.525819E-03  -0.313283E-03
   0.375000E+02  -0.326959E-03   0.302374E-03  -0.416919E-03
   0.425000E+02  -0.227882E-03   0.320669E-03  -0.224666E-03
   0.475000E+02  -0.286823E-03   0.326047E-03  -0.386104E-03
   0.525000E+02  -0.211069E-03   0.401445E-03  -0.315025E-03
   0.575000E+02  -0.162022E-03   0.517722E-03  -0.187484E-03
   0.625000E+02  -0.108710E-03   0.398081E-03  -0.290439E-03
   0.675000E+02  -0.132218E-03   0.336011E-03  -0.389834E-03
   0.725000E+02  -0.141926E-03   0.409320E-03  -0.353146E-03
   0.775000E+02  -0.835032E-04   0.256205E-03  -0.283683E-03
   0.825000E+02  -0.109693E-03   0.313804E-03  -0.208653E-03
   0.875000E+02  -0.106165E-03   0.302400E-03  -0.186562E-03
   0.925000E+02  -0.738801E-04   0.284525E-03  -0.184646E-03
   0.975000E+02  -0.755285E-04   0.374692E-03  -0.275599E-03
   0.102500E+03  -0.115630E-03   0.301610E-03  -0.270512E-03
   0.107500E+03  -0.611485E-04   0.311862E-03  -0.330891E-03
   0.112500E+03  -0.679802E-04   0.278597E-03  -0.364248E-03
   0.117500E+03  -0.396381E-04   0.292356E-03  -0.323528E-03
   0.122500E+03  -0.132110E-04   0.255825E-03  -0.265476E-03
   0.127500E+03  -0.450556E-04   0.296700E-03  -0.236013E-03
   0.132500E+03  -0.359685E-04   0.312334E-03  -0.231693E-03
   0.137500E+03  -0.382807E-04   0.292073E-03  -0.340106E-03
   0.142500E+03  -0.246112E-04   0.288519E-03  -0.229448E-03
   0.147500E+03  -0.353678E-04   0.207656E-03  -0.205137E-03
   0.152500E+03  -0.108964E-04   0.228252E-03  -0.302544E-03
   0.157500E+03  -0.368457E-04   0.210659E-03  -0.237743E-03
   0.162500E+03  -0.487749E-05   0.178945E-03  -0.231866E-03
   0.167500E+03  -0.123242E-04   0.263661E-03  -0.238725E-03
   0.172500E+03  -0.933805E-05   0.245559E-03  -0.255732E-03
   0.177500E+03  -0.343244E-04   0.198297E-03  -0.248257E-03
   0.182500E+03  -0.103964E-04   0.205666E-03  -0.234876E-03
   0.187500E+03  -0.204723E-04   0.174680E-03  -0.263023E-03
   0.192500E+03  -0.240183E-04   0.113832E-03  -0.260999E-03
   0.197500E+03  -0.380065E-05   0.192538E-03  -0.283135E-03
